symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used
SHIBUSDT,20.0,0.003053300645334195,0,-2.659999999999988e-08,0,-0.28820976588631164,1775257875,23,4,0.8,bear,mean_reversion,normal,1.499999999999998e-08,low,off,0,,live_ai_risk_v1,-0.28820976588631164,0.17234944000000013,0.17206123023411382,0.344410670234114,-0.6326204361204256,0.16722408026755692,-0.16722408026757107,0.02
FLOKIUSDT,7.407407407407362,1.0514597428126318,0,-1.7640000000000055e-07,0,-0.103474335459659,1775258052,23,4,0.8,bear,mean_reversion,normal,3.4999999999999784e-08,low,off,0,,live_ai_risk_v1,-0.103474335459659,0.1378795520000001,0.13777607766454045,0.27565562966454055,-0.37912996512419955,0.33771106941838963,-0.11257035647280077,0.02
ZKUSDT,29.310344827586178,0.11182647428098257,0,-0.0002482000000000005,0,-1.4398351113600036,1775260832,0,5,0.8,bear,mean_reversion,normal,7.57142857142856e-05,low,asia,0,,live_ai_risk_v1,-1.4398351113600036,0.13795420160000013,0.13651436648864013,0.2744685680886403,-1.714303679448644,0.0,-1.043705153294197,0.02
HEMIUSDT,26.811594202898505,1.1789846322352266,1,0.0003505999999999995,0,-2.9142099651599933,1775261352,0,5,0.8,bull,mean_reversion,aggressive,0.0002035714285714287,medium,asia,0,,live_ai_risk_v1,-2.9142099651599933,0.13793927168000011,0.13502506171484013,0.2729643333948403,-3.1871742985548335,0.5868544600938932,-2.1126760563380236,0.025
SIGNUSDT,38.888888888888836,1.2303447249604391,1,0.0001737999999999948,1,3.620161515100026,1775262212,0,5,0.7,bull,trend,normal,0.00021071428571428679,low,asia,0,,live_ai_risk_v1,3.620161515100026,0.20000000000000015,0.20362016151510018,0.40362016151510033,3.2165413535849257,2.8404344193817885,-0.08354218880533364,0.02
ZKUSDT,19.607843137254847,3.9904916273319144,0,-0.0003277999999999996,0,-0.1056105610599957,1775264078,0,5,0.8,bear,mean_reversion,normal,7.714285714285698e-05,low,asia,0,,live_ai_risk_v1,-0.1056105610599957,0.16000000000000011,0.15989438943894013,0.3198943894389402,-0.4255049504989359,0.5940594059405928,-0.06600660066006332,0.02
SHIBUSDT,26.666666666666515,1.6534088335927393,0,-6.039999999999946e-08,0,-0.5405405405405348,1775265439,1,5,0.8,bear,mean_reversion,normal,1.928571428571422e-08,low,asia,0,,live_ai_risk_v1,-0.5405405405405348,0.16000000000000011,0.15945945945945958,0.3194594594594597,-0.8599999999999945,0.1689189189189173,-0.3378378378378346,0.02
ONEUSDT,33.33333333333333,0.0,0,-1.4000000000000123e-05,1,1.137777777780003,1775265634,1,5,0.7,sideways,trend,normal,7.142857142857161e-06,low,asia,0,,live_ai_risk_v1,1.137777777780003,0.12800000000000009,0.1291377777777801,0.2571377777777802,0.880640000002223,1.3333333333333368,0.0,0.02
BANANAS31USDT,28.978622327790845,1.2032701521967617,1,8.72200000000007e-05,0,-0.8252839811249855,1775268547,2,5,0.8,bull,mean_reversion,aggressive,7.585714285714264e-05,low,asia,0,,live_ai_risk_v1,-0.8252839811249855,0.14240000000000008,0.1415747160188751,0.2839747160188752,-1.1092586971438607,0.2627308554207638,-0.5795533575457745,0.025
CHZUSDT,18.36734693877557,10.47454314934219,0,-0.00025879999999999653,0,-0.3633579995000104,1775270037,2,5,0.8,bear,mean_reversion,normal,7.78571428571434e-05,low,asia,0,,live_ai_risk_v1,-0.3633579995000104,0.14240000000000008,0.1420366420005001,0.2844366420005002,-0.6477946415005106,0.07655014034191199,-0.25516713447308714,0.02
BANANAS31USDT,22.12121212121214,1.549227052377797,0,-4.559999999999981e-05,0,-0.7173823621140009,1775270374,2,5,0.8,sideways,mean_reversion,normal,5.38571428571427e-05,low,asia,0,,live_ai_risk_v1,-0.7173823621140009,0.1395200000000001,0.1388026176378861,0.2783226176378862,-0.9957049797518871,0.11685883452788555,-0.514178871922718,0.02
ZKUSDT,17.543859649122922,3.740402452825935,0,-0.0005159999999999991,0,-1.568502389120004,1775270881,2,5,0.8,bear,mean_reversion,normal,8.357142857142863e-05,low,asia,0,,live_ai_risk_v1,-1.568502389120004,0.1436160000000001,0.1420474976108801,0.28566349761088017,-1.8541658867308843,0.0,-1.092150170648467,0.02
IOTAUSDT,20.00000000000037,0.0,0,-0.0008960000000000079,0,-0.2297641025999906,1775271048,2,5,0.8,sideways,mean_reversion,normal,0.00017142857142857338,low,asia,0,,live_ai_risk_v1,-0.2297641025999906,0.1433728000000001,0.1431430358974001,0.2865158358974002,-0.5162799384973908,0.3205128205128297,-0.3205128205128186,0.02
CHZUSDT,11.764705882352573,3.5167471099709804,0,-0.0004486000000000004,1,0.5491742233500158,1775271891,3,5,0.8,bear,mean_reversion,normal,9.785714285714259e-05,low,asia,0,,live_ai_risk_v1,0.5491742233500158,0.1426022400000001,0.14315141422335012,0.2857536542233502,0.26342056912666556,0.8215661103979482,0.0,0.02
KITEUSDT,20.408163265306186,2.64886151479347,0,-0.0038880000000000026,0,-1.0314559519999937,1775274567,3,5,0.8,bear,mean_reversion,normal,0.0006142857142857121,low,asia,0,,live_ai_risk_v1,-1.0314559519999937,0.17147955200000012,0.17044809604800015,0.34192764804800024,-1.373383600047994,0.2255639097744321,-0.6015037593984925,0.02
ONGUSDT,29.51907131011602,0.06443296164571233,1,0.0026115999999999917,0,-2.704374723870006,1775275563,4,5,0.8,bull,mean_reversion,aggressive,0.002059285714285711,medium,asia,0,,live_ai_risk_v1,-2.704374723870006,0.20000000000000018,0.19729562527613015,0.3972956252761303,-3.1016703491461364,0.8484312859036699,-1.3521873619089737,0.025
IOTAUSDT,0.0,0.8035027823698981,0,-0.0010319999999999982,1,0.7766990292000043,1775276228,4,5,0.8,bear,mean_reversion,normal,0.0001428571428571435,low,asia,0,,live_ai_risk_v1,0.7766990292000043,0.16000000000000014,0.16077669902920017,0.3207766990292003,0.455922330170804,1.4563106796116585,-0.3236245954692537,0.02
HFTUSDT,28.5714285714285,2.5667611626424205,0,-0.0002459999999999997,0,0.0,1775277884,4,5,0.8,bear,mean_reversion,normal,7.142857142857112e-05,low,asia,0,,live_ai_risk_v1,0.0,0.1280000000000001,0.1280000000000001,0.2560000000000002,-0.2560000000000002,0.7462686567164134,0.0,0.02
POLYXUSDT,26.315789473684163,0.058070068083328145,0,-0.00012999999999999817,0,-4.332129963599999,1775280356,5,5,0.8,sideways,mean_reversion,normal,0.0009499999999999995,medium,asia,0,,live_ai_risk_v1,-4.332129963599999,0.2000000000000002,0.19566787003640018,0.39566787003640036,-4.7277978336364,0.9025270758122752,-2.166064981949458,0.02
ONGUSDT,29.61165048543694,0.08562452685215505,0,-0.0056719999999999965,0,-1.6852903458999973,1775280683,5,5,0.8,sideways,mean_reversion,normal,0.001716428571428572,medium,asia,0,,live_ai_risk_v1,-1.6852903458999973,0.16000000000000014,0.15831470965410013,0.31831470965410025,-2.0036050555540976,1.3647188129694132,-1.0533064663857834,0.02
ALGOUSDT,17.567567567567664,0.0,0,-0.0016040000000000082,1,4.673858921600001,1775281501,5,5,0.8,sideways,mean_reversion,normal,0.0010571428571428596,low,asia,0,,live_ai_risk_v1,4.673858921600001,0.1280000000000001,0.13267385892160014,0.2606738589216002,4.413185062678401,4.9792531120331995,-0.16597510373443308,0.02
IOTAUSDT,29.411764705882092,1.8906583150125122,0,-0.0004260000000000097,1,1.150242326500001,1775282989,6,5,0.8,bear,mean_reversion,normal,0.00018571428571428607,low,asia,0,,live_ai_risk_v1,1.150242326500001,0.14240000000000014,0.14355024232650015,0.2859502423265003,0.8642920841735007,1.453957996768979,0.0,0.02
HFTUSDT,0.0,8.828609092891293,0,-0.0006019999999999984,1,2.262325581400006,1775283482,6,5,0.8,bear,mean_reversion,normal,8.571428571428594e-05,low,asia,0,,live_ai_risk_v1,2.262325581400006,0.14592000000000016,0.14818232558140015,0.2941023255814003,1.9682232558186057,3.1007751937984445,-0.7751937984496077,0.02
COSUSDT,24.999999999999773,0.004203919611883627,0,-1.3640000000000093e-05,1,1.4342233417300039,1775289335,7,5,0.8,sideways,mean_reversion,normal,3.071428571428592e-06,low,asia,0,,live_ai_risk_v1,1.4342233417300039,0.1708160000000002,0.1722502233417302,0.3430662233417304,1.0911571183882733,1.5113350125944587,0.0,0.02
